repository,file_url
apache/incubator-netbeans,https://github.com/apache/incubator-netbeans/blob/15bc442a91fa2be81488725b15c61386bf1d0b9b/lib.uihandler/src/org/netbeans/lib/uihandler/PasswdEncryption.java
apache/incubator-netbeans,https://github.com/apache/incubator-netbeans/blob/15bc442a91fa2be81488725b15c61386bf1d0b9b/java.hints/test/unit/src/org/netbeans/modules/java/hints/StaticImportTest.java
apache/incubator-netbeans,https://github.com/apache/incubator-netbeans/blob/15bc442a91fa2be81488725b15c61386bf1d0b9b/apisupport.project/src/org/netbeans/modules/apisupport/project/api/ManifestManager.java
apache/incubator-netbeans,https://github.com/apache/incubator-netbeans/blob/15bc442a91fa2be81488725b15c61386bf1d0b9b/autoupdate.services/src/org/netbeans/modules/autoupdate/updateprovider/AutoupdateInfoParser.java
apache/incubator-netbeans,https://github.com/apache/incubator-netbeans/blob/1648bdd4744053683bfde64f8aafbe957e0457ca/nbbuild/antsrc/org/netbeans/nbbuild/MakeOSGi.java
SeanDragon/protools,https://github.com/SeanDragon/protools/blob/bc9cf9e97fe36f93d4e0f07e240acccff939df88/security/src/main/java/pro/tools/security/ToolDES.java
SeanDragon/protools,https://github.com/SeanDragon/protools/blob/bc9cf9e97fe36f93d4e0f07e240acccff939df88/security/src/main/java/pro/tools/security/ToolDESede.java
SeanDragon/protools,https://github.com/SeanDragon/protools/blob/bc9cf9e97fe36f93d4e0f07e240acccff939df88/security/src/main/java/pro/tools/security/ToolPBE.java
SeanDragon/protools,https://github.com/SeanDragon/protools/blob/bc9cf9e97fe36f93d4e0f07e240acccff939df88/security/src/main/java/pro/tools/security/ToolAES.java
SeanDragon/protools,https://github.com/SeanDragon/protools/blob/bc9cf9e97fe36f93d4e0f07e240acccff939df88/security/src/main/java/pro/tools/security/ToolIDEA.java
SeanDragon/protools,https://github.com/SeanDragon/protools/blob/bc9cf9e97fe36f93d4e0f07e240acccff939df88/security/src/main/java/pro/tools/security/ToolDH.java
SeanDragon/protools,https://github.com/SeanDragon/protools/blob/bc9cf9e97fe36f93d4e0f07e240acccff939df88/security/src/main/java/pro/tools/security/ToolElGamal.java
SeanDragon/protools,https://github.com/SeanDragon/protools/blob/bc9cf9e97fe36f93d4e0f07e240acccff939df88/security/src/main/java/pro/tools/security/md/ToolHmacRipeMD.java
SeanDragon/protools,https://github.com/SeanDragon/protools/blob/bc9cf9e97fe36f93d4e0f07e240acccff939df88/security/src/main/java/pro/tools/security/md/ToolMAC.java
SeanDragon/protools,https://github.com/SeanDragon/protools/blob/bc9cf9e97fe36f93d4e0f07e240acccff939df88/security/src/main/java/pro/tools/security/md/ToolMAC_BCP.java
SeanDragon/protools,https://github.com/SeanDragon/protools/blob/bc9cf9e97fe36f93d4e0f07e240acccff939df88/security/src/main/java/pro/tools/security/ToolPBE2.java
SeanDragon/protools,https://github.com/SeanDragon/protools/blob/bc9cf9e97fe36f93d4e0f07e240acccff939df88/security/src/main/java/pro/tools/security/ToolPbkdf2.java
SeanDragon/protools,https://github.com/SeanDragon/protools/blob/bc9cf9e97fe36f93d4e0f07e240acccff939df88/security/src/main/java/pro/tools/security/ToolCertificate.java
SeanDragon/protools,https://github.com/SeanDragon/protools/blob/bc9cf9e97fe36f93d4e0f07e240acccff939df88/security/src/main/java/pro/tools/security/ToolCertificate2.java
SeanDragon/protools,https://github.com/SeanDragon/protools/blob/58f6fa85d65915cc8b485dbb71fae22c98a78421/security/src/main/java/pro/tools/security/ToolRSA.java
xiaoxiangyeyuHeaven/HeavenlyModule,https://github.com/xiaoxiangyeyuHeaven/HeavenlyModule/blob/133957cfb30b48698d9b85ab5bc16c241fd8dff8/HeavenlyModule/src/main/java/com/xusangbo/basemoudle/security/AESUtil.java
xiaoxiangyeyuHeaven/HeavenlyModule,https://github.com/xiaoxiangyeyuHeaven/HeavenlyModule/blob/133957cfb30b48698d9b85ab5bc16c241fd8dff8/HeavenlyModule/src/main/java/com/xusangbo/basemoudle/security/DESBase64Util.java
Teradata/kylo,https://github.com/Teradata/kylo/blob/f66903fe61e5f968856f8e159b50e190de4aa5ca/integrations/nifi/nifi-nar-bundles/nifi-hadoop-bundle/nifi-hadoop-processors/src/main/java/com/thinkbiganalytics/nifi/v2/sqoop/security/DecryptPassword.java
Teradata/kylo,https://github.com/Teradata/kylo/blob/4d091bf352be8e694c8fde71b64ed0fd44c97fde/integrations/nifi/nifi-nar-bundles/nifi-hadoop-bundle/nifi-hadoop-processors/src/main/java/com/thinkbiganalytics/nifi/v2/sqoop/security/EncryptPassword.java
google/conscrypt,https://github.com/google/conscrypt/blob/98afed60b004ec36a3c7bff769a8c41ad56894a2/benchmark-base/src/main/java/org/conscrypt/CipherFactory.java
