repository,file_url
aws/aws-sdk-java,https://github.com/aws/aws-sdk-java/blob/4734de6fb0f80fe5768a6587aad3b9d0eaec388f/aws-java-sdk-s3/src/main/java/com/amazonaws/auth/AwsChunkedEncodingInputStream.java
,
webmetrics/browsermob-proxy,https://github.com/webmetrics/browsermob-proxy/blob/a9252e62246ac33d55d51b993ba1159404e7d389/src/main/java/org/xbill/DNS/security/KEYConverter.java
,
elastic/elasticsearch,https://github.com/elastic/elasticsearch/blob/fb0aa562a5e1c4916c9e5338eb57b815b9064df8/x-pack/plugin/core/src/main/java/org/elasticsearch/xpack/core/XPackSettings.java
,
liferay/liferay-portal,https://github.com/liferay/liferay-portal/blob/d9883da1a7df9de7b72d9aa8984e20693ab8112d/portal-impl/test/unit/com/liferay/portal/security/pwd/CompositePasswordEncryptorTest.java
,
liferay/liferay-portal,https://github.com/liferay/liferay-portal/blob/ab333bb861a464a370a837992ff425a3bb5b4c9f/modules/util/source-formatter/src/main/java/com/liferay/source/formatter/checks/JavaIllegalImportsCheck.java
,
liferay/liferay-portal,https://github.com/liferay/liferay-portal/blob/8863dcf685a99969f13499f61e17bac1cad5ca1a/portal-impl/src/com/liferay/portal/security/auth/tunnel/TunnelAuthenticationManagerImpl.java
,
elastic/elasticsearch,https://github.com/elastic/elasticsearch/blob/8145a820c2dd4d37612ab6db1e45e484f2c20512/x-pack/plugin/security/src/main/java/org/elasticsearch/xpack/security/authc/TokenService.java
,
freenet/fred,https://github.com/freenet/fred/blob/b2556278a351da5240a91c3b03a91955a04af0ea/test/freenet/crypt/KeyGenUtilsTest.java
,
apache/ofbiz,https://github.com/apache/ofbiz/blob/7ba7f3c2e16df6c8db0d8114e124957199cea1ff/framework/base/src/main/java/org/apache/ofbiz/base/crypto/HashCrypt.java
,
aws/aws-sdk-java,https://github.com/aws/aws-sdk-java/blob/4734de6fb0f80fe5768a6587aad3b9d0eaec388f/aws-java-sdk-core/src/main/java/com/amazonaws/auth/AbstractAWSSigner.java
,
freenet/fred,https://github.com/freenet/fred/blob/b2556278a351da5240a91c3b03a91955a04af0ea/src/freenet/crypt/ECDH.java
,
aws/aws-sdk-java,https://github.com/aws/aws-sdk-java/blob/4734de6fb0f80fe5768a6587aad3b9d0eaec388f/aws-java-sdk-s3/src/main/java/com/amazonaws/services/s3/model/SSECustomerKey.java
,
